list-il-none,12,16,1,576,382790,664
list-dl-none,2,1,1,6,114563,19093
list-dl-none,2,2,1,12,118417,9868
list-dl-none,2,4,1,24,123206,5133
list-dl-none,2,8,1,48,148262,3088
list-dl-none,2,32,1,192,194455,1012
list-dl-none,4,1,1,12,154659,12888
list-dl-none,4,2,1,24,168803,7033
list-dl-none,4,4,1,48,149146,3107
list-dl-none,4,16,1,192,263313,1371
list-dl-none,8,1,1,24,261868,10911
list-dl-none,8,2,1,48,254364,5299
list-dl-none,8,4,1,96,280599,2922
list-dl-none,8,8,1,192,264406,1377
list-dl-none,12,1,1,36,363966,10110
list-dl-none,12,2,1,72,439102,6098
list-dl-none,12,4,1,144,379185,2633
list-dl-none,12,8,1,288,428154,1486
list-dl-none,12,16,1,576,407654,707
list-i-m,12,32,1,1152,458571,398
list-d-m,12,32,1,1152,469404,407
list-il-m,12,32,1,1152,628909,545
list-dl-m,12,32,1,1152,548513,476
list-i-s,12,32,1,1152,679897,590
list-d-s,12,32,1,1152,461189,400
list-il-s,12,32,1,1152,688040,597
list-dl-s,12,32,1,1152,448993,389
list-none-none,1,1000,1,3000,2885337,961
list-none-m,1,1000,1,3000,2943931,981
list-none-m,2,1000,1,6000,17884705,2980
list-none-m,4,1000,1,12000,71670882,5972
list-none-m,8,1000,1,24000,241063522,10044
list-none-m,12,1000,1,36000,520685469,14463
list-none-m,16,1000,1,48000,504860101,10517
list-none-m,24,1000,1,72000,704112097,9779
list-none-s,1,1000,1,3000,2862317,954
list-none-s,2,1000,1,6000,13145570,2190
list-none-s,4,1000,1,12000,35926842,2993
list-none-s,8,1000,1,24000,246042357,10251
list-none-s,12,1000,1,36000,436147899,12115
list-none-s,16,1000,1,48000,832393564,17341
list-none-s,24,1000,1,72000,2069645181,28745
list-none-none,1,10,1,30,14133447,471114
list-none-none,1,100,1,300,656662,2188
list-none-none,1,1000,1,3000,6402379,2134
list-none-none,1,10000,1,30000,596649903,19888
list-none-none,1,20000,1,60000,1760218879,29336
list-none-none,2,1,1,6,252848,42141
list-none-none,4,1,1,12,325638,27136
list-none-none,4,10,1,120,221606,1846
list-none-none,8,1,1,24,277330,11555
list-none-none,8,10,1,240,779087,3246
list-none-none,12,1,1,36,961777,26716
list-none-none,12,10,1,360,1248062,3466
list-i-none,2,1,1,6,122210,20368
list-i-none,2,2,1,12,153093,12757
list-i-none,2,4,1,24,178094,7420
list-i-none,2,8,1,48,202101,4210
list-i-none,2,16,1,96,196561,2047
list-i-none,4,1,1,12,1023239,85269
list-i-none,4,2,1,24,1022049,42585
list-i-none,4,4,1,48,225503,4697
list-i-none,4,8,1,96,1078405,11233
list-i-none,4,16,1,192,293308,1527
list-i-none,8,1,1,24,512833,21368
list-i-none,8,2,1,48,1142275,23797
list-i-none,8,4,1,96,1176909,12259
list-i-none,8,8,1,192,371965,1937
list-i-none,12,1,1,36,475293,13202
list-i-none,12,2,1,72,1238147,17196
list-i-none,12,4,1,144,1259319,8745
list-i-none,12,8,1,288,433888,1506
list-i-none,12,16,1,576,1262028,2191
list-d-none,2,1,1,6,122590,20431
list-d-none,2,2,1,12,96092,8007
list-d-none,2,4,1,24,127089,5295
list-d-none,2,8,1,48,129765,2703
list-d-none,2,16,1,96,152522,1588
list-d-none,2,32,1,192,159741,831
list-d-none,4,1,1,12,163845,13653
list-d-none,4,2,1,24,257201,10716
list-d-none,4,4,1,48,150210,3129
list-d-none,4,8,1,96,904991,9426
list-d-none,8,1,1,24,991981,41332
list-d-none,8,2,1,48,268818,5600
list-d-none,8,4,1,96,975333,10159
list-d-none,8,8,1,192,1076934,5609
list-d-none,8,16,1,384,1181329,3076
list-d-none,12,1,1,36,1588641,44128
list-d-none,12,2,1,72,1098727,15260
list-d-none,12,4,1,144,1292705,8977
list-d-none,12,8,1,288,1275919,4430
list-il-none,2,1,1,6,138744,23124
list-il-none,2,2,1,12,146791,12232
list-il-none,2,4,1,24,154656,6444
list-il-none,2,8,1,48,200464,4176
list-il-none,2,32,1,192,2789963,14531
list-il-none,4,1,1,12,990676,82556
list-il-none,4,2,1,24,994470,41436
list-il-none,4,4,1,48,18876091,393251
list-il-none,4,16,1,192,276162,1438
list-il-none,8,1,1,24,332519,13854
list-il-none,8,2,1,48,312135,6502
list-il-none,8,4,1,96,462707,4819
list-il-none,8,8,1,192,1182538,6159
list-il-none,8,16,1,384,426057,1109
list-il-none,12,1,1,36,524294,14563
list-il-none,12,2,1,72,1306875,18151
list-il-none,12,4,1,144,1104626,7671
list-il-none,12,8,1,288,488741,1697
list-il-none,12,16,1,576,497606,863
list-dl-none,2,1,1,6,127627,21271
list-dl-none,2,2,1,12,117930,9827
list-dl-none,2,4,1,24,155771,6490
list-dl-none,4,1,1,12,143452,11954
list-dl-none,4,2,1,24,159369,6640
list-dl-none,4,4,1,48,196155,4086
list-dl-none,4,8,1,96,198258,2065
list-dl-none,8,1,1,24,292735,12197
list-dl-none,8,2,1,48,292167,6086
list-dl-none,8,4,1,96,309966,3228
list-dl-none,8,8,1,192,295829,1540
list-dl-none,12,1,1,36,384389,10677
list-dl-none,12,2,1,72,605997,8416
list-dl-none,12,4,1,144,1436110,9972
list-dl-none,12,8,1,288,24112465,83723
list-dl-none,12,16,1,576,12435246,21588
list-i-m,12,32,1,1152,19209536,16674
list-d-m,12,32,1,1152,11030933,9575
list-il-m,12,32,1,1152,1550623,1346
list-dl-m,12,32,1,1152,15554716,13502
list-i-s,12,32,1,1152,736991,639
list-d-s,12,32,1,1152,687475,596
list-il-s,12,32,1,1152,48191449,41832
list-dl-s,12,32,1,1152,1328540,1153
list-none-none,1,1000,1,3000,3078864,1026
list-none-m,1,1000,1,3000,2904982,968
list-none-m,2,1000,1,6000,31305538,5217
list-none-m,4,1000,1,12000,86402701,7200
list-none-m,8,1000,1,24000,201475031,8394
list-none-m,12,1000,1,36000,498997436,13861
list-none-m,16,1000,1,48000,703726332,14660
list-none-m,24,1000,1,72000,1175547942,16327
list-none-s,1,1000,1,3000,3238170,1079
list-none-s,2,1000,1,6000,17152577,2858
list-none-s,4,1000,1,12000,47288571,3940
list-none-s,8,1000,1,24000,228817820,9534
list-none-s,12,1000,1,36000,469428019,13039
list-none-s,16,1000,1,48000,981634042,20450
list-none-s,24,1000,1,72000,2041580702,28355
list-none-none,1,10,1,30,91526,3050
list-none-none,1,100,1,300,158458,528
list-none-none,1,1000,1,3000,2846600,948
list-none-none,1,10000,1,30000,393626576,13120
list-none-none,1,20000,1,60000,1956723852,32612
list-none-none,2,1,1,6,122813,20468
list-none-none,4,1,1,12,179846,14987
list-none-none,4,10,1,120,196942,1641
list-none-none,8,1,1,24,1157519,48229
list-none-none,8,10,1,240,1189804,4957
list-none-none,12,1,1,36,894422,24845
list-none-none,12,10,1,360,1162739,3229
list-i-none,2,1,1,6,92738,15456
list-i-none,2,2,1,12,92345,7695
list-i-none,2,4,1,24,151829,6326
list-i-none,2,8,1,48,185469,3863
list-i-none,4,1,1,12,190446,15870
list-i-none,4,2,1,24,225124,9380
list-i-none,4,4,1,48,228772,4766
list-i-none,4,8,1,96,640379,6670
list-i-none,8,1,1,24,325254,13552
list-i-none,8,2,1,48,1103766,22995
list-i-none,8,4,1,96,1104933,11509
list-i-none,8,8,1,192,1217758,6342
list-i-none,8,16,1,384,1048408,2730
list-i-none,12,1,1,36,1114399,30955
list-i-none,12,2,1,72,1177668,16356
list-i-none,12,4,1,144,1378118,9570
list-i-none,12,8,1,288,961041,3336
list-i-none,12,16,1,576,1274041,2211
list-d-none,2,1,1,6,94326,15721
list-d-none,2,2,1,12,152989,12749
list-d-none,2,4,1,24,123679,5153
list-d-none,2,8,1,48,159173,3316
list-d-none,2,32,1,192,179261,933
list-d-none,4,1,1,12,155679,12973
list-d-none,4,2,1,24,186899,7787
list-d-none,4,4,1,48,756282,15755
list-d-none,8,1,1,24,973561,40565
list-d-none,8,2,1,48,1057892,22039
