add-s,12,10000,240000,104244020,434,0
add-none,2,100,400,160367,400,0
add-none,2,1000,4000,170519,42,-160
add-none,2,10000,40000,717047,17,-1452
add-none,2,100000,400000,7259711,18,-22472
add-none,4,100,800,218546,273,0
add-none,4,1000,8000,240074,30,-24
add-none,4,10000,80000,1581840,19,-8957
add-none,4,100000,800000,13837486,17,-35740
add-none,8,100,1600,334389,208,0
add-none,8,1000,16000,478416,29,-412
add-none,8,10000,160000,4057535,25,-9732
add-none,8,100000,1600000,35344130,22,-20295
add-none,12,100,2400,417429,173,0
add-none,12,1000,24000,704211,29,-328
add-none,12,10000,240000,6210678,25,-8546
add-none,12,100000,2400000,55678098,23,-109997
add-yield-none,2,10,40,133265,3331,6
add-yield-none,4,10,80,222730,2784,8
add-yield-none,8,10,160,314497,1965,18
add-yield-none,12,10,240,405997,1691,0
add-yield-none,2,20,80,193346,2416,0
add-yield-none,4,20,160,225736,1410,12
add-yield-none,8,20,320,338268,1057,17
add-yield-none,12,20,480,428003,891,68
add-yield-none,2,40,160,209162,1307,0
add-yield-none,4,40,320,264818,827,68
add-yield-none,8,40,640,388052,606,63
add-yield-none,12,40,960,538404,560,112
add-yield-none,2,80,320,260599,814,0
add-yield-none,4,80,640,312798,488,46
add-yield-none,8,80,1280,467373,365,83
add-yield-none,12,80,1920,550988,286,218
add-yield-none,2,100,400,306029,765,0
add-yield-none,4,100,800,337817,422,63
add-yield-none,8,100,1600,464972,290,58
add-yield-none,12,100,2400,588534,245,174
add-yield-none,2,1000,4000,1471383,367,-24
add-yield-none,4,1000,8000,2018664,252,58
add-yield-none,8,1000,16000,2231053,139,93
add-yield-none,12,1000,24000,2288220,95,270
add-yield-none,2,10000,40000,16467956,411,-18
add-yield-none,4,10000,80000,25188903,314,-1184
add-yield-none,8,10000,160000,18627577,116,-2329
add-yield-none,12,10000,240000,27227979,113,275
add-yield-none,2,100000,400000,166949934,417,-1522
add-yield-none,4,100000,800000,168644151,210,-3712
add-yield-none,8,100000,1600000,245215006,153,-55876
add-yield-none,12,100000,2400000,281470718,117,-74833
add-none,1,100,200,135823,679,0
add-none,1,1000,2000,162163,81,0
add-none,1,10000,20000,534539,26,0
add-none,1,100000,200000,2169897,10,0
add-none,1,1000000,2000000,22965736,11,0
add-none,2,100,400,390904,977,0
add-none,2,1000,4000,432997,108,0
add-none,2,10000,40000,1219891,30,43
add-none,2,100000,400000,5183268,12,0
add-none,2,1000000,4000000,76400247,19,-490765
add-none,4,100,800,18710612,23388,0
add-none,4,1000,8000,402328,50,21
add-none,4,10000,80000,2414215,30,-5969
add-none,4,100000,800000,16438618,20,-21751
add-none,4,1000000,8000000,211010636,26,-599025
